"Species","Population1","Nind1","Population2","Nind2","Fst","Lower.bound.CI.limit","Upper.bound.CI.limit","p.value","Sign"
"ALFL","AB",8,"SK",7,0.125013348549481,0.117952587413387,0.132424897384464,0,"***"
"CLSW","SK",12,"MB",6,0.0559743657283621,NA,NA,NA,"***"
"CLSW","SK",12,"CO",8,0.0332566253048723,NA,NA,NA,"***"
"CLSW","SK",12,"MX",3,0.0984756875544128,NA,NA,NA,"***"
"CLSW","SK",12,"MS",4,0.0570735319798445,NA,NA,NA,"***"
"CLSW","SK",12,"ON",7,0.0675617507999721,NA,NA,NA,"***"
"CLSW","NBC",5,"SK",12,0.0579358628265794,NA,NA,NA,"***"
"CLSW","NBC",5,"WA",6,0.0357472181342758,NA,NA,NA,"***"
"CLSW","NBC",5,"MB",6,0.035452417235382,NA,NA,NA,"***"
"CLSW","NBC",5,"CO",8,0.0665654394069207,NA,NA,NA,"***"
"CLSW","NBC",5,"MX",3,0.0574834681484985,NA,NA,NA,"***"
"CLSW","NBC",5,"MS",4,0.0379070533487987,NA,NA,NA,"***"
"CLSW","NBC",5,"ON",7,0.0866796936367808,NA,NA,NA,"***"
"CLSW","WA",6,"SK",12,0.0443957389802937,NA,NA,NA,"***"
"CLSW","WA",6,"MB",6,0.0387779272886984,NA,NA,NA,"***"
"CLSW","WA",6,"CO",8,0.0469669167323471,NA,NA,NA,"***"
"CLSW","WA",6,"MX",3,0.0479786625647394,NA,NA,NA,"***"
"CLSW","WA",6,"MS",4,0.0389216779962075,NA,NA,NA,"***"
"CLSW","WA",6,"ON",7,0.0665501600384931,NA,NA,NA,"***"
"CLSW","MB",6,"CO",8,0.0514740503327892,NA,NA,NA,"***"
"CLSW","MB",6,"MX",3,0.0560385429390972,NA,NA,NA,"***"
"CLSW","MB",6,"MS",4,0.0436162625776602,NA,NA,NA,"***"
"CLSW","MB",6,"ON",7,0.0729933469647676,NA,NA,NA,"***"
"CLSW","CO",8,"MX",3,0.113010003639291,NA,NA,NA,"***"
"CLSW","CO",8,"MS",4,0.0721577668343667,NA,NA,NA,"***"
"CLSW","CO",8,"ON",7,0.0770686736305851,NA,NA,NA,"***"
"CLSW","MX",3,"MS",4,0.0658573605799024,NA,NA,NA,"***"
"CLSW","MX",3,"ON",7,0.12755628162314,NA,NA,NA,"***"
"CLSW","MS",4,"ON",7,0.0898843652011221,NA,NA,NA,"***"
"PUMA","SK",12,"NC",4,0.0952066269141086,NA,NA,NA,"***"
"PUMA","SK",12,"SWON",10,0.0691495655869956,NA,NA,NA,"***"
"PUMA","SBC and VI",10,"SK",12,0.221198536508609,NA,NA,NA,"***"
"PUMA","SBC and VI",10,"NC",4,0.249908624436617,NA,NA,NA,"***"
"PUMA","SBC and VI",10,"SWON",10,0.225158372741744,NA,NA,NA,"***"
"PUMA","NC",4,"SWON",10,0.0947435493938749,NA,NA,NA,"***"
"VGSW","WA",3,"CO",6,0.035259091589896,NA,NA,NA,"***"
"VGSW","WA",3,"NV",10,0.0234976706529897,NA,NA,NA,"***"
"VGSW","PI",7,"WA",3,0.169322289827957,NA,NA,NA,"***"
"VGSW","PI",7,"CO",6,0.159769505498354,NA,NA,NA,"***"
"VGSW","PI",7,"SBC",5,0.203594268720975,NA,NA,NA,"***"
"VGSW","PI",7,"NV",10,0.126710239275925,NA,NA,NA,"***"
"VGSW","SBC",5,"WA",3,0.0947360278906897,NA,NA,NA,"***"
"VGSW","SBC",5,"CO",6,0.0968768282281822,NA,NA,NA,"***"
"VGSW","SBC",5,"NV",10,0.0716259623105268,NA,NA,NA,"***"
"VGSW","NV",10,"CO",6,0.0370477956381219,NA,NA,NA,"***"
